province_state,country_region,date,latitude,longitude,location_geom,confirmed,deaths,recovered,active,fips,admin2,combined_key
New Brunswick,Canada,27/06/2021,"46,5653","-66,4619",POINT(-66.4619 46.5653),2325,45,2254,26,,,"New Brunswick, Canada"
Newfoundland and Labrador,Canada,27/06/2021,"53,1355","-57,6604",POINT(-57.6604 53.1355),1384,7,1366,11,,,"Newfoundland and Labrador, Canada"
Northwest Territories,Canada,27/06/2021,"64,8255","-124,8457",POINT(-124.8457 64.8255),128,0,128,0,,,"Northwest Territories,Canada"
Nova Scotia,Canada,27/06/2021,"44,682","-63,7443",POINT(-63.7443 44.682),5828,92,5678,58,,,"Nova Scotia, Canada"
Nunavut,Canada,27/06/2021,"70,2998","-83,1076",POINT(-83.1076 70.2998),657,4,653,0,,,"Nunavut, Canada"
Ontario,Canada,27/06/2021,"51,2538","-85,3232",POINT(-85.3232 51.2538),551595,9085,539504,3006,,,"Ontario, Canada"
Prince Edward Island,Canada,27/06/2021,"46,5107","-63,4168",POINT(-63.4168 46.5107),206,0,206,0,,,"Prince Edward Island, Canada"
Quebec,Canada,27/06/2021,"52,9399","-73,5491",POINT(-73.5491 52.9399),374406,11202,362130,1074,,,"Quebec, Canada"
Repatriated Travellers,Canada,27/06/2021,,,,13,0,13,0,,,"Repatriated Travellers, Canada"
Saskatchewan,Canada,27/06/2021,"52,9399","-106,4509",POINT(-106.4509 52.9399),48754,566,47639,549,,,"Saskatchewan, Canada"
Yukon,Canada,27/06/2021,"64,2823",-135,POINT(-135 64.2823),264,4,152,108,,,"Yukon, Canada"
,Central African Republic,27/06/2021,"6,6111","20,9394",POINT(20.9394 6.6111),7139,98,6859,182,,,Central African Republic
,Chad,27/06/2021,"15,4542","18,7322",POINT(18.7322 15.4542),4951,174,4769,8,,,Chad
Antofagasta,Chile,27/06/2021,"-23,6509","-70,3975",POINT(-70.3975 -23.6509),57119,1114,55153,852,,,"Antofagasta, Chile"
Araucania,Chile,27/06/2021,"-38,9489","-72,3311",POINT(-72.3311 -38.9489),91974,1209,88877,1888,,,"Araucania, Chile"
Arica y Parinacota,Chile,27/06/2021,"-18,594","-69,4785",POINT(-69.4785 -18.594),24915,475,23844,596,,,"Arica y Parinacota, Chile"
Atacama,Chile,27/06/2021,"-27,5661","-70,0503",POINT(-70.0503 -27.5661),24391,276,23400,715,,,"Atacama, Chile"
Aysen,Chile,27/06/2021,"-45,9864","-73,7669",POINT(-73.7669 -45.9864),7595,60,7245,290,,,"Aysen, Chile"
Biobio,Chile,27/06/2021,"-37,4464","-72,1416",POINT(-72.1416 -37.4464),142456,2299,137719,2438,,,"Biobio, Chile"
Coquimbo,Chile,27/06/2021,"-29,959","-71,3389",POINT(-71.3389 -29.959),44556,809,42446,1301,,,"Coquimbo, Chile"
Los Lagos,Chile,27/06/2021,"-41,9198","-72,1416",POINT(-72.1416 -41.9198),84115,1186,81708,1221,,,"Los Lagos, Chile"
Los Rios,Chile,27/06/2021,"-40,231","-72,3311",POINT(-72.3311 -40.231),44861,531,43027,1303,,,"Los Rios, Chile"
Magallanes,Chile,27/06/2021,"-52,368","-70,9863",POINT(-70.9863 -52.368),28811,447,28200,164,,,"Magallanes, Chile"
Maule,Chile,27/06/2021,"-35,5183","-71,6885",POINT(-71.6885 -35.5183),95093,1511,91461,2121,,,"Maule, Chile"
Metropolitana,Chile,27/06/2021,"-33,4376","-70,6505",POINT(-70.6505 -33.4376),649857,16856,620921,12080,,,"Metropolitana, Chile"
Nuble,Chile,27/06/2021,"-36,7226","-71,7622",POINT(-71.7622 -36.7226),33798,563,32606,629,,,"Nuble, Chile"
OHiggins,Chile,27/06/2021,"-34,5755","-71,0022",POINT(-71.0022 -34.5755),65063,1322,62439,1302,,,"OHiggins, Chile"
Tarapaca,Chile,27/06/2021,"-19,9232","-69,5132",POINT(-69.5132 -19.9232),38840,726,37681,433,,,"Tarapaca, Chile"
Unknown,Chile,27/06/2021,,,,52,0,52,0,,,"Unknown, Chile"
Valparaiso,Chile,27/06/2021,"-33,0472","-71,6127",POINT(-71.6127 -33.0472),113607,2914,107631,3062,,,"Valparaiso, Chile"
Anhui,China,27/06/2021,"31,8257","117,2264",POINT(117.2264 31.8257),1004,6,998,0,,,"Anhui, China"
Beijing,China,27/06/2021,"40,1824","116,4142",POINT(116.4142 40.1824),1079,9,1054,16,,,"Beijing, China"
Chongqing,China,27/06/2021,"30,0572","107,874",POINT(107.874 30.0572),598,6,591,1,,,"Chongqing, China"
Fujian,China,27/06/2021,"26,0789","117,9874",POINT(117.9874 26.0789),672,1,620,51,,,"Fujian, China"
Gansu,China,27/06/2021,"35,7518","104,2861",POINT(104.2861 35.7518),195,2,192,1,,,"Gansu, China"
Guangdong,China,27/06/2021,"23,3417","113,4244",POINT(113.4244 23.3417),2733,8,2558,167,,,"Guangdong, China"
Guangxi,China,27/06/2021,"23,8298","108,7881",POINT(108.7881 23.8298),275,2,273,0,,,"Guangxi, China"
Guizhou,China,27/06/2021,"26,8154","106,8748",POINT(106.8748 26.8154),147,2,145,0,,,"Guizhou, China"
Hainan,China,27/06/2021,"19,1959","109,7453",POINT(109.7453 19.1959),188,6,181,1,,,"Hainan, China"
Hebei,China,27/06/2021,"37,8957","114,9042",POINT(114.9042 37.8957),1317,7,1310,0,,,"Hebei, China"
Heilongjiang,China,27/06/2021,"47,862","127,7615",POINT(127.7615 47.862),1612,13,1599,0,,,"Heilongjiang, China"
Henan,China,27/06/2021,"33,882","113,614",POINT(113.614 33.882),1317,22,1291,4,,,"Henan, China"
Hong Kong,China,27/06/2021,"22,3","114,2",POINT(114.2 22.3),11917,210,11625,82,,,"Hong Kong, China"
Hubei,China,27/06/2021,"30,9756","112,2707",POINT(112.2707 30.9756),68160,4512,63647,1,,,"Hubei, China"
Hunan,China,27/06/2021,"27,6104","111,7088",POINT(111.7088 27.6104),1056,4,1047,5,,,"Hunan, China"
Inner Mongolia,China,27/06/2021,"44,0935","113,9448",POINT(113.9448 44.0935),394,1,390,3,,,"Inner Mongolia, China"
Jiangsu,China,27/06/2021,"32,9711","119,455",POINT(119.455 32.9711),742,0,729,13,,,"Jiangsu, China"
Jiangxi,China,27/06/2021,"27,614","115,7221",POINT(115.7221 27.614),937,1,936,0,,,"Jiangxi, China"
Jilin,China,27/06/2021,"43,6661","126,1923",POINT(126.1923 43.6661),573,3,570,0,,,"Jilin, China"
Liaoning,China,27/06/2021,"41,2956","122,6085",POINT(122.6085 41.2956),427,2,424,1,,,"Liaoning, China"
Macau,China,27/06/2021,"22,1667","113,55",POINT(113.55 22.1667),53,0,51,2,,,"Macau, China"
Ningxia,China,27/06/2021,"37,2692","106,1655",POINT(106.1655 37.2692),76,0,75,1,,,"Ningxia, China"
Qinghai,China,27/06/2021,"35,7452","95,9956",POINT(95.9956 35.7452),18,0,18,0,,,"Qinghai, China"
Shaanxi,China,27/06/2021,"35,1917","108,8701",POINT(108.8701 35.1917),624,3,617,4,,,"Shaanxi, China"
Shandong,China,27/06/2021,"36,3427","118,1498",POINT(118.1498 36.3427),883,7,875,1,,,"Shandong, China"
Shanghai,China,27/06/2021,"31,202","121,4491",POINT(121.4491 31.202),2201,7,2140,54,,,"Shanghai, China"
Shanxi,China,27/06/2021,"37,5777","112,2922",POINT(112.2922 37.5777),253,0,252,1,,,"Shanxi, China"
Sichuan,China,27/06/2021,"30,6171","102,7103",POINT(102.7103 30.6171),1095,3,1048,44,,,"Sichuan, China"
Tianjin,China,27/06/2021,"39,3054","117,323",POINT(117.323 39.3054),401,3,388,10,,,"Tianjin, China"
Tibet,China,27/06/2021,"31,6927","88,0924",POINT(88.0924 31.6927),1,0,1,0,,,"Tibet, China"
Unknown,China,27/06/2021,,,,0,0,17,-17,,,"Unknown, China"
Xinjiang,China,27/06/2021,"41,1129","85,2401",POINT(85.2401 41.1129),980,3,977,0,,,"Xinjiang, China"
Yunnan,China,27/06/2021,"24,974","101,487",POINT(101.487 24.974),411,2,355,54,,,"Yunnan, China"
Zhejiang,China,27/06/2021,"29,1832","120,0934",POINT(120.0934 29.1832),1385,1,1337,47,,,"Zhejiang, China"
Amazonas,Colombia,27/06/2021,"-1,4429","-71,5724",POINT(-71.5724 -1.4429),6389,244,6104,41,,,"Amazonas, Colombia"
Antioquia,Colombia,27/06/2021,"7,1986","-75,3412",POINT(-75.3412 7.1986),633973,13660,588368,31945,,,"Antioquia, Colombia"
Arauca,Colombia,27/06/2021,"7,0762","-70,7105",POINT(-70.7105 7.0762),10431,301,9436,694,,,"Arauca, Colombia"
Atlantico,Colombia,27/06/2021,"10,6966","-74,8741",POINT(-74.8741 10.6966),289464,8930,275990,4544,,,"Atlantico, Colombia"
Bolivar,Colombia,27/06/2021,"8,6704","-74,03",POINT(-74.03 8.6704),130227,2455,123867,3905,,,"Bolivar, Colombia"
Boyaca,Colombia,27/06/2021,"5,4545","-73,362",POINT(-73.362 5.4545),87269,2008,80755,4506,,,"Boyaca, Colombia"
Caldas,Colombia,27/06/2021,"5,2983","-75,2479",POINT(-75.2479 5.2983),87923,1793,82525,3605,,,"Caldas, Colombia"
Capital District,Colombia,27/06/2021,"4,711","-74,0721",POINT(-74.0721 4.711),1225804,23218,1119486,83100,,,"Capital District, Colombia"
Caqueta,Colombia,27/06/2021,"0,8699","-73,8419",POINT(-73.8419 0.8699),20089,770,18799,520,,,"Caqueta, Colombia"
Casanare,Colombia,27/06/2021,"5,7589","-71,5724",POINT(-71.5724 5.7589),28820,695,26367,1758,,,"Casanare, Colombia"
Cauca,Colombia,27/06/2021,"2,705","-76,826",POINT(-76.826 2.705),41091,1101,37837,2153,,,"Cauca, Colombia"
Cesar,Colombia,27/06/2021,"9,3373","-73,6536",POINT(-73.6536 9.3373),79400,2150,74739,2511,,,"Cesar, Colombia"
Choco,Colombia,27/06/2021,"5,2528","-76,826",POINT(-76.826 5.2528),14135,340,13432,363,,,"Choco, Colombia"
Cordoba,Colombia,27/06/2021,"8,0493","-75,574",POINT(-75.574 8.0493),79922,2968,72169,4785,,,"Cordoba, Colombia"
Cundinamarca,Colombia,27/06/2021,"5,026","-74,03",POINT(-74.03 5.026),218026,5662,203157,9207,,,"Cundinamarca, Colombia"
Guainia,Colombia,27/06/2021,"2,5854","-68,5247",POINT(-68.5247 2.5854),2039,23,1992,24,,,"Guainia, Colombia"
Guaviare,Colombia,27/06/2021,"1,0654","-73,2603",POINT(-73.2603 1.0654),4262,75,4070,117,,,"Guaviare, Colombia"
Huila,Colombia,27/06/2021,"2,5359","-75,5277",POINT(-75.5277 2.5359),69820,2352,65087,2381,,,"Huila, Colombia"
La Guajira,Colombia,27/06/2021,"11,3548","-72,5205",POINT(-72.5205 11.3548),39240,1239,37416,585,,,"La Guajira, Colombia"
Magdalena,Colombia,27/06/2021,"10,4113","-74,4057",POINT(-74.4057 10.4113),79750,2941,74276,2533,,,"Magdalena, Colombia"
Meta,Colombia,27/06/2021,"3,272","-73,0877",POINT(-73.0877 3.272),69295,1649,65091,2555,,,"Meta, Colombia"
Narino,Colombia,27/06/2021,"1,2892","-77,3579",POINT(-77.3579 1.2892),76274,2547,70022,3705,,,"Narino, Colombia"
Norte de Santander,Colombia,27/06/2021,"7,9463","-72,8988",POINT(-72.8988 7.9463),73720,3451,66795,3474,,,"Norte de Santander, Colombia"
Putumayo,Colombia,27/06/2021,"0,436","-75,5277",POINT(-75.5277 0.436),13469,561,12461,447,,,"Putumayo, Colombia"
Quindio,Colombia,27/06/2021,"4,461","-75,6674",POINT(-75.6674 4.461),48733,1447,46117,1169,,,"Quindio, Colombia"
Risaralda,Colombia,27/06/2021,"5,3158","-75,9928",POINT(-75.9928 5.3158),74270,1809,69465,2996,,,"Risaralda, Colombia"
San Andres y Providencia,Colombia,27/06/2021,"12,5567","-81,7185",POINT(-81.7185 12.5567),6256,123,6044,89,,,"San Andres y Providencia, Colombia"
Santander,Colombia,27/06/2021,"6,6437","-73,6536",POINT(-73.6536 6.6437),186345,5847,171234,9264,,,"Santander, Colombia"
Sucre,Colombia,27/06/2021,"8,814","-74,7233",POINT(-74.7233 8.814),47873,1338,43596,2939,,,"Sucre, Colombia"
Tolima,Colombia,27/06/2021,"4,0925","-75,1545",POINT(-75.1545 4.0925),88653,2847,83097,2709,,,"Tolima, Colombia"
Unknown,Colombia,27/06/2021,,,,0,0,1,,,,"Unknown, Colombia"
Valle del Cauca,Colombia,27/06/2021,"3,8009","-76,6413",POINT(-76.6413 3.8009),321651,10082,300673,10896,,,"Valle del Cauca, Colombia"
Vaupes,Colombia,27/06/2021,"0,8554","-70,812",POINT(-70.812 0.8554),1669,15,1644,10,,,"Vaupes, Colombia"
Vichada,Colombia,27/06/2021,"4,4234","-69,2878",POINT(-69.2878 4.4234),2434,37,2345,52,,,"Vichada, Colombia"
,Comoros,27/06/2021,"-11,6455","43,3333",POINT(43.3333 -11.6455),3912,146,3745,21,,,Comoros
,Congo (Brazzaville),27/06/2021,"-0,228","15,8277",POINT(15.8277 -0.228),12485,165,11211,1109,,,Congo (Brazzaville)
,Congo (Kinshasa),27/06/2021,"-4,0383","21,7587",POINT(21.7587 -4.0383),40254,916,28219,11119,,,Congo (Kinshasa)
,Costa Rica,27/06/2021,"9,7489","-83,7534",POINT(-83.7534 9.7489),361005,4602,287248,69155,,,Costa Rica
,Cote d'Ivoire,27/06/2021,"7,54","-5,5471",POINT(-5.5471 7.54),48192,312,47773,107,,,Cote d'Ivoire
,Croatia,27/06/2021,"45,1","15,2",POINT(15.2 45.1),359652,8200,350938,514,,,Croatia
,Cuba,27/06/2021,"21,521757","-77,781167",POINT(-77.781167 21.521757),182354,1241,168872,12241,,,Cuba
,Cyprus,27/06/2021,"35,1264","33,4299",POINT(33.4299 35.1264),74785,374,39061,35350,,,Cyprus
,Czechia,27/06/2021,"49,8175","15,473",POINT(15.473 49.8175),1666890,30298,1634739,1853,,,Czechia
Faroe Islands,Denmark,27/06/2021,"61,8926","-6,9118",POINT(-6.9118 61.8926),772,1,757,14,,,"Faroe Islands, Denmark"
Greenland,Denmark,27/06/2021,"71,7069","-42,6043",POINT(-42.6043 71.7069),50,0,41,9,,,"Greenland, Denmark"
,Denmark,27/06/2021,"56,2639","9,5018",POINT(9.5018 56.2639),292943,2532,287344,3067,,,Denmark
,Diamond Princess,27/06/2021,,,,712,13,699,0,,,Diamond Princess
,Djibouti,27/06/2021,"11,8251","42,5903",POINT(42.5903 11.8251),11601,155,11438,8,,,Djibouti
,Dominica,27/06/2021,"15,415","-61,371",POINT(-61.371 15.415),193,0,191,2,,,Dominica
,Dominican Republic,27/06/2021,"18,7357","-70,1627",POINT(-70.1627 18.7357),322778,3797,263958,55023,,,Dominican Republic
,Ecuador,27/06/2021,"-1,8312","-78,1834",POINT(-78.1834 -1.8312),454336,21523,423688,9125,,,Ecuador
,Egypt,27/06/2021,"26,820553","30,802498",POINT(30.802498 26.820553),280394,16092,210052,54250,,,Egypt
,El Salvador,27/06/2021,"13,7942","-88,8965",POINT(-88.8965 13.7942),78572,2367,72438,3767,,,El Salvador
,Equatorial Guinea,27/06/2021,"1,6508","10,2679",POINT(10.2679 1.6508),8723,121,8510,92,,,Equatorial Guinea
,Eritrea,27/06/2021,"15,1794","39,7823",POINT(39.7823 15.1794),5780,21,5261,498,,,Eritrea
,Estonia,27/06/2021,"58,5953","25,0136",POINT(25.0136 58.5953),130968,1269,127149,2550,,,Estonia
,Eswatini,27/06/2021,"-26,5225","31,4659",POINT(31.4659 -26.5225),19035,678,18095,262,,,Eswatini
,Ethiopia,27/06/2021,"9,145","40,4897",POINT(40.4897 9.145),275935,4314,259044,12577,,,Ethiopia
,Fiji,27/06/2021,"-17,7134","178,065",POINT(178.065 -17.7134),3591,15,753,2823,,,Fiji
,Finland,27/06/2021,"61,92411","25,748151",POINT(25.748151 61.92411),95084,969,46000,48115,,,Finland
French Guiana,France,27/06/2021,4,-53,POINT(-53 4),27040,142,9995,16903,,,"French Guiana, France"
French Polynesia,France,27/06/2021,"-17,6797","-149,4068",POINT(-149.4068 -17.6797),18994,142,18828,24,,,"French Polynesia, France"
Guadeloupe,France,27/06/2021,"16,265","-61,551",POINT(-61.551 16.265),17427,266,2250,14911,,,"Guadeloupe, France"
Martinique,France,27/06/2021,"14,6415","-61,0242",POINT(-61.0242 14.6415),12199,99,98,12002,,,"Martinique, France"
Mayotte,France,27/06/2021,"-12,8275","45,166244",POINT(45.166244 -12.8275),19405,174,2964,16267,,,"Mayotte, France"
New Caledonia,France,27/06/2021,"-20,904305","165,618042",POINT(165.618042 -20.904305),129,0,58,71,,,"New Caledonia, France"
Reunion,France,27/06/2021,"-21,1151","55,5364",POINT(55.5364 -21.1151),29502,226,27585,1691,,,"Reunion, France"
Saint Barthelemy,France,27/06/2021,"17,9","-62,8333",POINT(-62.8333 17.9),1005,1,462,542,,,"Saint Barthelemy, France"
Saint Pierre and Miquelon,France,27/06/2021,"46,8852","-56,3159",POINT(-56.3159 46.8852),26,0,25,1,,,"Saint Pierre and Miquelon, France"
St Martin,France,27/06/2021,"18,0708","-63,0501",POINT(-63.0501 18.0708),2276,12,1399,865,,,"St Martin, France"
Wallis and Futuna,France,27/06/2021,"-14,2938","-178,1165",POINT(-178.1165 -14.2938),445,7,438,0,,,"Wallis and Futuna, France"
,France,27/06/2021,"46,2276","2,2137",POINT(2.2137 46.2276),5703524,110061,340293,5253170,,,France
,Gabon,27/06/2021,"-0,8037","11,6094",POINT(11.6094 -0.8037),24984,159,24598,227,,,Gabon
,Gambia,27/06/2021,"13,4432","-15,3101",POINT(-15.3101 13.4432),6069,181,5855,33,,,Gambia
,Georgia,27/06/2021,"42,3154","43,3569",POINT(43.3569 42.3154),363522,5266,349658,8598,,,Georgia
Baden-Wurttemberg,Germany,27/06/2021,"48,6616","9,3501",POINT(9.3501 48.6616),500625,10226,487500,2899,,,"Baden-Wurttemberg, Germany"
Bayern,Germany,27/06/2021,"48,7904","11,4979",POINT(11.4979 48.7904),647295,15244,629200,2851,,,"Bayern, Germany"
Berlin,Germany,27/06/2021,"52,52","13,405",POINT(13.405 52.52),180121,3556,175900,665,,,"Berlin, Germany"
Brandenburg,Germany,27/06/2021,"52,4125","12,5316",POINT(12.5316 52.4125),108675,3794,104600,281,,,"Brandenburg, Germany"
Bremen,Germany,27/06/2021,"53,0793","8,8017",POINT(8.8017 53.0793),27426,484,26850,92,,,"Bremen, Germany"
Hamburg,Germany,27/06/2021,"53,5511","9,9937",POINT(9.9937 53.5511),77300,1590,75100,610,,,"Hamburg, Germany"
Hessen,Germany,27/06/2021,"50,6521","9,1624",POINT(9.1624 50.6521),290712,7505,281200,2007,,,"Hessen, Germany"
Mecklenburg-Vorpommern,Germany,27/06/2021,"53,6127","12,4296",POINT(12.4296 53.6127),44138,1152,42910,76,,,"Mecklenburg-Vorpommern, Germany"
Niedersachsen,Germany,27/06/2021,"52,6367","9,8451",POINT(9.8451 52.6367),260916,5757,254300,859,,,"Niedersachsen, Germany"
Nordrhein-Westfalen,Germany,27/06/2021,"51,4332","7,6616",POINT(7.6616 51.4332),815824,17113,794900,3811,,,"Nordrhein-Westfalen, Germany"
Rheinland-Pfalz,Germany,27/06/2021,"50,1183","7,309",POINT(7.309 50.1183),155119,3882,150400,837,,,"Rheinland-Pfalz, Germany"
Saarland,Germany,27/06/2021,"49,3964","7,023",POINT(7.023 49.3964),41453,1019,40270,164,,,"Saarland, Germany"
Sachsen,Germany,27/06/2021,"51,1045","13,2017",POINT(13.2017 51.1045),285802,10068,274600,1134,,,"Sachsen, Germany"
Sachsen-Anhalt,Germany,27/06/2021,"51,9503","11,6923",POINT(11.6923 51.9503),99267,3430,95450,387,,,"Sachsen-Anhalt, Germany"
Schleswig-Holstein,Germany,27/06/2021,"54,2194","9,6961",POINT(9.6961 54.2194),63858,1620,61930,308,,,"Schleswig-Holstein, Germany"
Thuringen,Germany,27/06/2021,"51,011","10,8453",POINT(10.8453 51.011),128742,4328,123900,514,,,"Thuringen, Germany"
Unknown,Germany,27/06/2021,,,,7216,0,0,7216,,,"Unknown, Germany"
,Ghana,27/06/2021,"7,9465","-1,0232",POINT(-1.0232 7.9465),95369,795,93212,1362,,,Ghana
,Greece,27/06/2021,"39,0742","21,8243",POINT(21.8243 39.0742),420905,12655,93764,314486,,,Greece
,Grenada,27/06/2021,"12,1165","-61,679",POINT(-61.679 12.1165),161,1,160,0,,,Grenada
,Guatemala,27/06/2021,"15,7835","-90,2308",POINT(-90.2308 15.7835),291595,9050,262171,20374,,,Guatemala
,Guinea,27/06/2021,"9,9456","-9,6966",POINT(-9.6966 9.9456),23692,168,22392,1132,,,Guinea
,Guinea-Bissau,27/06/2021,"11,8037","-15,1804",POINT(-15.1804 11.8037),3846,69,3574,203,,,Guinea-Bissau
,Guyana,27/06/2021,"4,860416","-58,93018",POINT(-58.93018 4.860416),19877,462,17681,1734,,,Guyana
,Haiti,27/06/2021,"18,9712","-72,2852",POINT(-72.2852 18.9712),17963,400,12802,4761,,,Haiti
,Holy See,27/06/2021,"41,9029","12,4534",POINT(12.4534 41.9029),27,0,27,0,,,Holy See
,Honduras,27/06/2021,"15,2","-86,2419",POINT(-86.2419 15.2),259628,6916,92309,160403,,,Honduras
,Hungary,27/06/2021,"47,1625","19,5033",POINT(19.5033 47.1625),807910,29980,737233,40697,,,Hungary
,Iceland,27/06/2021,"64,9631","-19,0208",POINT(-19.0208 64.9631),6555,29,6476,50,,,Iceland
Andaman and Nicobar Islands,India,27/06/2021,"11,225999","92,968178",POINT(92.968178 11.225999),7455,127,7266,62,,,"Andaman and Nicobar Islands, India"
Andhra Pradesh,India,27/06/2021,"15,9129","79,74",POINT(79.74 15.9129),1879872,12599,1822500,44773,,,"Andhra Pradesh, India"
Arunachal Pradesh,India,27/06/2021,"27,768456","96,384277",POINT(96.384277 27.768456),34932,167,32270,2495,,,"Arunachal Pradesh, India"
Assam,India,27/06/2021,"26,357149","92,830441",POINT(92.830441 26.357149),500644,4440,469067,27137,,,"Assam, India"
Bihar,India,27/06/2021,"25,679658","85,60484",POINT(85.60484 25.679658),721299,9579,709578,2142,,,"Bihar, India"
Chandigarh,India,27/06/2021,"30,733839","76,768278",POINT(76.768278 30.733839),61624,807,60614,203,,,"Chandigarh, India"
Chhattisgarh,India,27/06/2021,"21,264705","82,035366",POINT(82.035366 21.264705),993289,13431,973262,6596,,,"Chhattisgarh, India"
Dadra and Nagar Haveli and Daman and Diu,India,27/06/2021,"20,194742","73,080901",POINT(73.080901 20.194742),10539,4,10490,45,,,"Dadra and Nagar Haveli and Daman and Diu, India"
Delhi,India,27/06/2021,"28,646519","77,10898",POINT(77.10898 28.646519),1433934,24965,1407401,1568,,,"Delhi, India"
Goa,India,27/06/2021,"15,359682","74,057396",POINT(74.057396 15.359682),166098,3039,160548,2511,,,"Goa, India"
Gujarat,India,27/06/2021,"22,694884","71,590923",POINT(71.590923 22.694884),823244,10051,809506,3687,,,"Gujarat, India"
Haryana,India,27/06/2021,"29,20004","76,332824",POINT(76.332824 29.20004),768378,9385,757308,1685,,,"Haryana, India"
Himachal Pradesh,India,27/06/2021,"31,927213","77,233081",POINT(77.233081 31.927213),201665,3473,196438,1754,,,"Himachal Pradesh, India"
Jammu and Kashmir,India,27/06/2021,"33,75943","76,612638",POINT(76.612638 33.75943),314731,4304,305135,5292,,,"Jammu and Kashmir, India"
Jharkhand,India,27/06/2021,"23,654536","85,557631",POINT(85.557631 23.654536),345340,5111,339199,1030,,,"Jharkhand, India"
Karnataka,India,27/06/2021,"14,70518","76,166436",POINT(76.166436 14.70518),2834630,34743,2698822,101065,,,"Karnataka, India"
Kerala,India,27/06/2021,"10,450898","76,405749",POINT(76.405749 10.450898),2888894,12879,2775967,100048,,,"Kerala, India"
Ladakh,India,27/06/2021,"34,1526","77,5771",POINT(77.5771 34.1526),19964,202,19481,281,,,"Ladakh, India"
Lakshadweep,India,27/06/2021,"13,6999972","72,1833326",POINT(72.1833326 13.6999972),9681,48,9337,296,,,"Lakshadweep, India"
Madhya Pradesh,India,27/06/2021,"23,541513","78,289633",POINT(78.289633 23.541513),789696,8917,779963,816,,,"Madhya Pradesh, India"
Maharashtra,India,27/06/2021,"19,449759","76,108221",POINT(76.108221 19.449759),6036821,121286,5790113,125422,,,"Maharashtra, India"
Manipur,India,27/06/2021,"24,738975","93,882541",POINT(93.882541 24.738975),67986,1124,61038,5824,,,"Manipur, India"
Meghalaya,India,27/06/2021,"25,536934","91,278882",POINT(91.278882 25.536934),48447,819,43070,4558,,,"Meghalaya, India"
Mizoram,India,27/06/2021,"23,309381","92,83822",POINT(92.83822 23.309381),19455,91,15040,4324,,,"Mizoram, India"
Nagaland,India,27/06/2021,"26,06702","94,470302",POINT(94.470302 26.06702),24961,487,22951,1523,,,"Nagaland, India"
Odisha,India,27/06/2021,"20,505428","84,418059",POINT(84.418059 20.505428),900470,3887,867402,29181,,,"Odisha, India"
Puducherry,India,27/06/2021,"11,882658","78,86498",POINT(78.86498 11.882658),116645,1744,112229,2672,,,"Puducherry, India"
Punjab,India,27/06/2021,"30,841465","75,40879",POINT(75.40879 30.841465),594883,15991,574872,4020,,,"Punjab, India"
Rajasthan,India,27/06/2021,"26,583423","73,847973",POINT(73.847973 26.583423),952129,8914,941482,1733,,,"Rajasthan, India"
Sikkim,India,27/06/2021,"27,571671","88,472712",POINT(88.472712 27.571671),20111,301,17673,2137,,,"Sikkim, India"
Tamil Nadu,India,27/06/2021,"11,006091","78,400624",POINT(78.400624 11.006091),2465874,32290,2390783,42801,,,"Tamil Nadu, India"
Telangana,India,27/06/2021,"18,1124","79,0193",POINT(79.0193 18.1124),620613,3635,602676,14302,,,"Telangana, India"
Tripura,India,27/06/2021,"23,746783","91,743565",POINT(91.743565 23.746783),64863,672,60694,3497,,,"Tripura, India"
Unknown,India,27/06/2021,,,,0,0,0,0,,,"Unknown, India"
Uttar Pradesh,India,27/06/2021,"26,925425","80,560982",POINT(80.560982 26.925425),1705596,22518,1679913,3165,,,"Uttar Pradesh, India"
Uttarakhand,India,27/06/2021,"30,156447","79,197608",POINT(79.197608 30.156447),339619,7088,330066,2465,,,"Uttarakhand, India"
West Bengal,India,27/06/2021,"23,814082","87,979803",POINT(87.979803 23.814082),1494949,17612,1455453,21884,,,"West Bengal, India"
,Indonesia,27/06/2021,"-0,7893","113,9213",POINT(113.9213 -0.7893),2115304,57138,1850481,207685,,,Indonesia
,Iran,27/06/2021,"32,427908","53,688046",POINT(53.688046 32.427908),3167741,83845,2835633,248263,,,Iran
,Iraq,27/06/2021,"33,223191","43,679291",POINT(43.679291 33.223191),1325700,17091,1231225,77384,,,Iraq
,Ireland,27/06/2021,"53,1424","-7,6921",POINT(-7.6921 53.1424),271260,4989,23364,242907,,,Ireland
,Israel,27/06/2021,"31,046051","34,851612",POINT(34.851612 31.046051),840888,6429,833169,1290,,,Israel
Abruzzo,Italy,27/06/2021,"42,35122196","13,39843823",POINT(13.39843823 42.35122196),74761,2512,71220,1029,,,"Abruzzo, Italy"
Basilicata,Italy,27/06/2021,"40,63947052","15,80514834",POINT(15.80514834 40.63947052),26933,590,25500,843,,,"Basilicata, Italy"
Calabria,Italy,27/06/2021,"38,90597598","16,59440194",POINT(16.59440194 38.90597598),68905,1224,62172,5509,,,"Calabria, Italy"
Campania,Italy,27/06/2021,"40,83956555","14,25084984",POINT(14.25084984 40.83956555),424027,7433,407593,9001,,,"Campania, Italy"
Emilia-Romagna,Italy,27/06/2021,"44,49436681","11,3417208",POINT(11.3417208 44.49436681),386695,13257,369715,3723,,,"Emilia-Romagna, Italy"
Friuli Venezia Giulia,Italy,27/06/2021,"45,6494354","13,76813649",POINT(13.76813649 45.6494354),106911,3787,102907,217,,,"Friuli Venezia Giulia, Italy"
