province_state,country_region,date,latitude,longitude,location_geom,confirmed,deaths,recovered,active,fips,admin2,combined_key
,Jamaica,25/06/2020,"18,1096","-77,2975",POINT(-77.2975 18.1096),684,10,526,148,,,Jamaica
,Jordan,25/06/2020,"31,24","36,51",POINT(36.51 31.24),1086,9,797,280,,,Jordan
,Kazakhstan,25/06/2020,"48,0196","66,9237",POINT(66.9237 48.0196),19750,140,12220,7390,,,Kazakhstan
,Kenya,25/06/2020,"-0,0236","37,9062",POINT(37.9062 -0.0236),5384,132,1857,3395,,,Kenya
,"Korea, South",25/06/2020,"35,907757","127,766922",POINT(127.766922 35.907757),12602,282,11172,1148,,,"Korea, South"
,Kosovo,25/06/2020,"42,602636","20,902977",POINT(20.902977 42.602636),2169,37,1047,1085,,,Kosovo
,Kuwait,25/06/2020,"29,31166","47,481766",POINT(47.481766 29.31166),42788,339,33367,9082,,,Kuwait
,Kyrgyzstan,25/06/2020,"41,20438","74,766098",POINT(74.766098 41.20438),4204,43,2162,1999,,,Kyrgyzstan
,Laos,25/06/2020,"19,85627","102,495496",POINT(102.495496 19.85627),19,0,19,0,,,Laos
,Latvia,25/06/2020,"56,8796","24,6032",POINT(24.6032 56.8796),1111,30,903,178,,,Latvia
,Lebanon,25/06/2020,"33,8547","35,8623",POINT(35.8623 33.8547),1662,33,1144,485,,,Lebanon
,Lesotho,25/06/2020,"-29,609988","28,233608",POINT(28.233608 -29.609988),17,0,2,15,,,Lesotho
,Liberia,25/06/2020,"6,428055","-9,429499",POINT(-9.429499 6.428055),681,34,278,369,,,Liberia
,Libya,25/06/2020,"26,3351","17,228331",POINT(17.228331 26.3351),698,18,140,540,,,Libya
,Liechtenstein,25/06/2020,"47,14","9,55",POINT(9.55 47.14),82,1,81,0,,,Liechtenstein
,Lithuania,25/06/2020,"55,1694","23,8813",POINT(23.8813 55.1694),1806,78,1494,234,,,Lithuania
,Luxembourg,25/06/2020,"49,8153","6,1296",POINT(6.1296 49.8153),4151,110,3968,73,,,Luxembourg
,MS Zaandam,25/06/2020,,,,9,2,0,7,,,MS Zaandam
,Madagascar,25/06/2020,"-18,766947","46,869107",POINT(46.869107 -18.766947),1829,16,823,990,,,Madagascar
,Malawi,25/06/2020,"-13,254308","34,301525",POINT(34.301525 -13.254308),960,12,260,688,,,Malawi
,Malaysia,25/06/2020,"4,210484","101,975766",POINT(101.975766 4.210484),8600,121,8271,208,,,Malaysia
